name,date_for_local_environment,lon,lat,basin
1978361N02180,1/01/1979 0:00,171.3,2.6,WP
1979002S04179,3/01/1979 0:00,176,-5,SP
1979003S10052,3/01/1979 6:00,51,-9.5,SI
1979027S15167,30/01/1979 0:00,168,-14,SP
1979031S12056,4/02/1979 12:00,57.8,-21.6,SI
1979041S19051,11/02/1979 6:00,53,-16.9,SI
1979077N07150,20/03/1979 0:00,141.5,10.3,WP
1979083S15184,24/03/1979 0:00,-178.5,-15,SP
1979098N02144,11/04/1979 0:00,139.6,6.3,WP
1979126N04148,12/05/1979 0:00,121,10.1,WP
1979137N19116,22/05/1979 6:00,119.3,21.5,WP
1979152N11265,1/06/1979 6:00,-96.9,11,EP
1979171N10315,21/06/1979 0:00,-51.1,12.3,NA
1979172N10257,21/06/1979 0:00,-102.7,9.5,EP
1979174N07143,30/06/1979 6:00,133.2,13.2,WP
1979180N03155,2/07/1979 0:00,148,7,WP
1979191N22264,9/07/1979 6:00,-96,22,NA
1979197N13314,16/07/1979 12:00,-53.8,15.7,NA
1979205N10148,28/07/1979 0:00,137.8,16.2,WP
1979206N19132,26/07/1979 0:00,131,18.7,WP
1979219N15138,8/08/1979 0:00,137.7,16,WP
1979228N11151,16/08/1979 0:00,148,12,WP
1979238N12324,25/08/1979 6:00,-36.1,11.7,NA
1979241N11335,29/08/1979 12:00,-28,11.1,NA
1979242N22143,1/09/1979 12:00,133.1,25.2,WP
1979242N26271,29/08/1979 18:00,-89.1,25.5,NA
1979243N19154,3/09/1979 0:00,152,23,WP
1979248N16339,5/09/1979 12:00,-27,19,NA
1979254N10140,15/09/1979 6:00,131.5,12.4,WP
1979258N10120,18/09/1979 12:00,113,18,WP
1979258N20273,15/09/1979 12:00,-87.4,22.5,NA
1979262N15149,22/09/1979 6:00,138.1,12.5,WP
1979271N13113,3/10/1979 18:00,120.2,14.3,WP
1979275N05159,5/10/1979 6:00,155.4,5.6,WP
1979277N13256,4/10/1979 6:00,-105.3,13.2,EP
1979297N12265,23/10/1979 12:00,-95.3,11.7,EP
1979297N29294,23/10/1979 6:00,-66,29,NA
1979300N04166,1/11/1979 6:00,148.3,6.2,WP
1979311N10142,8/11/1979 0:00,135.4,14.6,WP
1979319N09272,15/11/1979 0:00,-88,8.5,EP
1979333N07169,1/12/1979 0:00,163,5.9,WP
1979344S12170,10/12/1979 0:00,173.5,-12.5,SP
1979350N07152,20/12/1979 6:00,132.6,11,WP
1980003S15137,8/01/1980 0:00,157.1,-26.3,SP
1980033S12161,2/02/1980 12:00,165,-13.6,SP
