name,date_for_local_environment,lon,lat
   1982001N04163,1/01/1982 12:00,162.9,4.3
   1982002S14187,2/01/1982 12:00,-168.5,-15
   1982003S06179,5/01/1982 0:00,-176,-15
   1982003N25128,3/01/1982 6:00,128.1,24.8
   1982003S02089,4/01/1982 12:00,95.5,-3.6
   1982004N02163,4/01/1982 6:00,162.2,2.8
   1982004N03111,5/01/1982 0:00,110.1,3.1
   1982004N04154,5/01/1982 0:00,153.4,4.1
   1982005S07091,6/01/1982 6:00,90,-10.2
   1982005S17180,5/01/1982 18:00,-178.9,-18.6
   1982006N05157,7/01/1982 18:00,154.2,-1.8
   1982006S10176,7/01/1982 18:00,176.5,-15.7
   1982006S03121,6/01/1982 12:00,120.2,-2.4
   1982006S23180,8/01/1982 0:00,-172.2,-21.9
   1982007S01142,8/01/1982 6:00,145.4,9.7
   1982007S25222,7/01/1982 12:00,-138.9,-24
   1982007S16161,7/01/1982 18:00,160.5,-16.3
   1982007S02136,7/01/1982 18:00,136,-2
   1982008S08186,9/01/1982 0:00,-177.7,-9.4
   1982009S11153,10/01/1982 0:00,152.4,-8.6
   1982009S08145,12/01/1982 0:00,151.5,-8.2
   1982010S10160,11/01/1982 6:00,159.3,-9.7
   1982011N09129,12/01/1982 0:00,128.9,10
   1982011S07088,12/01/1982 18:00,87.2,-1.3
   1982012S25197,13/01/1982 0:00,-162.8,-21.6
   1982012S14161,13/01/1982 0:00,165.1,-13.7
   1982012S12146,12/01/1982 18:00,148.3,-6.3
   1982012S20169,13/01/1982 0:00,172.5,-24
   1982012S27206,12/01/1982 18:00,-153.1,-26.7
   1982014S24177,15/01/1982 0:00,178.5,-26.1
   1982014S16160,14/01/1982 0:00,159.9,-15.5
   1982015N02123,16/01/1982 6:00,119.1,2.4
   1982015N06146,15/01/1982 12:00,144.5,5.2
   1982016S17203,16/01/1982 18:00,-156,-20.1
   1982016N06161,17/01/1982 6:00,160.8,5.2
   1982016N02119,17/01/1982 18:00,121.2,3.6
   1982017S07138,18/01/1982 6:00,137.7,-9.3
   1982017N13135,18/01/1982 6:00,130.9,12.5
   1982018S21188,18/01/1982 6:00,-171.9,-20.5
   1982018S02140,19/01/1982 12:00,136.5,-0.7
   1982018S08187,20/01/1982 18:00,-172.7,-19.7
   1982018S09168,18/01/1982 18:00,168.2,-8.9
   1982019S18154,19/01/1982 6:00,152.2,-19.6
   1982019S04145,20/01/1982 0:00,144.2,-0.6
   1982019S09183,20/01/1982 0:00,-179.6,-13.9
   1982021S19178,21/01/1982 18:00,-178.9,-19.7
   1982021S09217,21/01/1982 18:00,-145.3,-8.3
   1982021N00168,22/01/1982 0:00,166.3,1.1
   1982021S13130,23/01/1982 0:00,130.6,-10.6
   1982022S18171,24/01/1982 0:00,178.3,-16.2
   1982023S25194,23/01/1982 18:00,-168.6,-26.5
   1982025N02154,25/01/1982 6:00,153.8,2
   1982026N01149,27/01/1982 0:00,147.2,2.9
   1982026S24217,28/01/1982 0:00,-141.6,-27.6
   1982027N06155,27/01/1982 18:00,157,5.6
   1982027S06154,29/01/1982 0:00,156.4,-5.5
   1982027S05136,28/01/1982 18:00,139.7,-12.3
   1982028N04111,28/01/1982 6:00,109.9,5.2
   1982028N03147,30/01/1982 0:00,157.3,2.9
   1982028N03140,29/01/1982 18:00,145.7,5.7
   1982029N02137,30/01/1982 0:00,139.1,3.2
   1982030S08174,31/01/1982 6:00,172.8,-14
   1982031S05149,31/01/1982 0:00,149.4,-4.6
   1982031S08132,31/01/1982 6:00,136.5,-8.5
   1982031S08079,1/02/1982 6:00,85.5,-10
   1982031S14149,1/02/1982 12:00,147,-12.5
   1982031S02122,1/02/1982 12:00,119.6,1.5
   1982031S24210,1/02/1982 12:00,-146.3,-27.4
   1982032S03159,2/02/1982 12:00,165.6,3.1
   1982032S10146,2/02/1982 12:00,149.5,-9
   1982033S19170,3/02/1982 0:00,176.4,-22.4
   1982033S07112,3/02/1982 18:00,116.7,-4.1
   1982035S10099,5/02/1982 0:00,100.2,-4.4
   1982036S03117,6/02/1982 6:00,115.8,-6.3
